date,UAH_USD
2000-01-01,5.4755
2000-02-01,5.4975
2000-03-01,5.4276
2000-04-01,5.4003
2000-05-01,5.4144
2000-06-01,5.4378
2000-07-01,5.4387
2000-08-01,5.4385
2000-09-01,5.4397
2000-10-01,5.4369
2000-11-01,5.4367
2000-12-01,5.4345
2001-01-01,5.4306
2001-02-01,5.4288
2001-03-01,5.4192
2001-04-01,5.4158
2001-05-01,5.4152
2001-06-01,5.3828
2001-07-01,5.3535
2001-08-01,5.3404
2001-09-01,5.3311
2001-10-01,5.2937
2001-11-01,5.2831
2001-12-01,5.2985
2002-01-01,5.321
2002-02-01,5.3215
2002-03-01,5.322
2002-04-01,5.327
2002-05-01,5.3293
2002-06-01,5.3288
2002-07-01,5.329
2002-08-01,5.3293
2002-09-01,5.3295
2002-10-01,5.3302
2002-11-01,5.3312
2002-12-01,5.3324
2003-01-01,5.3329
2003-02-01,5.3345
2003-03-01,5.3345
2003-04-01,5.3337
2003-05-01,5.333
2003-06-01,5.3328
2003-07-01,5.3318
2003-08-01,5.3315
2003-09-01,5.3315
2003-10-01,5.3319
2003-11-01,5.332
2003-12-01,5.3315
2004-01-01,5.3311
2004-02-01,5.3299
2004-03-01,5.3293
2004-04-01,5.3287
2004-05-01,5.325
2004-06-01,5.3207
2004-07-01,5.316
2004-08-01,5.3116
2004-09-01,5.3077
2004-10-01,5.3065
2004-11-01,5.3062
2004-12-01,5.3054
2005-01-01,5.3039
2005-02-01,5.299
2005-03-01,5.2808
2005-04-01,5.05
2005-05-01,5.05
2005-06-01,5.055
2005-07-01,5.05
2005-08-01,5.05
2005-09-01,5.05
2005-10-01,5.05
2005-11-01,5.05
2005-12-01,5.05
2006-01-01,5.05
2006-02-01,5.05
2006-03-01,5.05
2006-04-01,5.05
2006-05-01,5.05
2006-06-01,5.05
2006-07-01,5.05
2006-08-01,5.05
2006-09-01,5.05
2006-10-01,5.05
2006-11-01,5.05
2006-12-01,5.05
2007-01-01,5.05
2007-02-01,5.05
2007-03-01,5.05
2007-04-01,5.05
2007-05-01,5.05
2007-06-01,5.05
2007-07-01,5.05
2007-08-01,5.05
2007-09-01,5.05
2007-10-01,5.05
2007-11-01,5.05
2007-12-01,5.05
2008-01-01,5.05
2008-02-01,5.05
2008-03-01,5.05
2008-04-01,5.05
2008-05-01,4.852
2008-06-01,4.8489
2008-07-01,4.8451
2008-08-01,4.8457
2008-09-01,4.861
2008-10-01,5.7604
2008-11-01,6.7418
2008-12-01,7.7
2009-01-01,7.7
2009-02-01,7.7
2009-03-01,7.7
2009-04-01,7.7
2009-05-01,7.6188
2009-06-01,7.6303
2009-07-01,7.698
2009-08-01,7.989
2009-09-01,8.01
2009-10-01,8.0
2009-11-01,7.9809
2009-12-01,7.985
2010-01-01,8.0012
2010-02-01,7.99
2010-03-01,7.925
2010-04-01,7.9259
2010-05-01,7.9251
2010-06-01,7.907
2010-07-01,7.8932
2010-08-01,7.8861
2010-09-01,7.9135
2010-10-01,7.9116
2010-11-01,7.938
2010-12-01,7.9617
2011-01-01,7.94
2011-02-01,7.9307
2011-03-01,7.96
2011-04-01,7.9654
2011-05-01,7.9706
2011-06-01,7.9723
2011-07-01,7.9712
2011-08-01,7.9707
2011-09-01,7.9727
2011-10-01,7.977
2011-11-01,7.9897
2011-12-01,7.9898
2012-01-01,7.9897
2012-02-01,7.9867
2012-03-01,7.9867
2012-04-01,7.9899
2012-05-01,7.9925
2012-06-01,7.9925
2012-07-01,7.993
2012-08-01,7.993
2012-09-01,7.993
2012-10-01,7.993
2012-11-01,7.993
2012-12-01,7.993
2013-01-01,7.993
2013-02-01,7.993
2013-03-01,7.993
2013-04-01,7.993
2013-05-01,7.993
2013-06-01,7.993
2013-07-01,7.993
2013-08-01,7.993
2013-09-01,7.993
2013-10-01,7.993
2013-11-01,7.993
2013-12-01,7.993
2014-01-01,7.993
2014-02-01,9.9863
2014-03-01,10.9546
2014-04-01,11.401581
2014-05-01,11.774997
2014-06-01,11.823346
2014-07-01,12.097248
2014-08-01,13.605777
2014-09-01,12.949185
2014-10-01,12.950684
2014-11-01,14.969269
2014-12-01,15.768556
2015-01-01,16.157817
2015-02-01,27.76312
2015-03-01,23.442625
2015-04-01,21.046832
2015-05-01,21.048227
2015-06-01,21.015358
2015-07-01,21.611775
2015-08-01,21.185441
2015-09-01,21.527544
2015-10-01,22.903985
2015-11-01,23.884656
2015-12-01,24.000667
2016-01-01,25.151769
2016-02-01,27.054389
2016-03-01,26.218056
2016-04-01,25.186528
2016-05-01,25.166002
2016-06-01,24.854409
2016-07-01,24.798204
2016-08-01,25.652241
2016-09-01,25.911879
2016-10-01,25.495951
2016-11-01,25.599374
2016-12-01,27.190858
2017-01-01,27.119036
2017-02-01,27.053672
2017-03-01,26.976058
2017-04-01,26.551453
2017-05-01,26.352778
2017-06-01,26.098994
2017-07-01,25.915589
2017-08-01,25.579541
2017-09-01,26.521094
2017-10-01,26.82939
2017-11-01,27.01393
2017-12-01,28.067223
2018-01-01,28.008791
2018-02-01,26.948185
2018-03-01,26.543493
2018-04-01,26.230047
2018-05-01,26.135817
2018-06-01,26.18917
2018-07-01,26.755214
2018-08-01,28.279437
2018-09-01,28.298262
2018-10-01,28.164437
2018-11-01,28.390932
2018-12-01,27.688264
2019-01-01,27.755525
2019-02-01,26.992764
2019-03-01,27.248765
2019-04-01,26.619328
2019-05-01,26.872573
2019-06-01,26.166382
2019-07-01,25.085516
2019-08-01,25.232299
2019-09-01,24.082809
2019-10-01,24.995421
2019-11-01,24.035575
2019-12-01,23.6862
2020-01-01,24.9196
2020-02-01,24.561
2020-03-01,28.0615
2020-04-01,26.9714
2020-05-01,26.9059
2020-06-01,26.6922
2020-07-01,27.6913
2020-08-01,27.4759
2020-09-01,28.2989
2020-10-01,28.4383
2020-11-01,28.4681
2020-12-01,28.2746
2021-01-01,28.1929
2021-02-01,27.9301
2021-03-01,27.8852
2021-04-01,27.75
2021-05-01,27.5004
2021-06-01,27.1763
2021-07-01,26.8867
2021-08-01,26.8601
2021-09-01,26.576
2021-10-01,26.3265
2021-11-01,27.1739
2021-12-01,27.2782
2022-01-01,28.7839
2022-02-01,29.2549
2022-03-01,29.2549
2022-04-01,29.2549
2022-05-01,29.2549
2022-06-01,29.2549
2022-07-01,36.5686
2022-08-01,36.5686
2022-09-01,36.5686
2022-10-01,36.5686
2022-11-01,36.5686
2022-12-01,36.5686
2023-01-01,36.5686
2023-02-01,36.5686
2023-03-01,36.5686
2023-04-01,36.5686
2023-05-01,36.5686
2023-06-01,36.5686
2023-07-01,36.5686
2023-08-01,36.5686
2023-09-01,36.5686
2023-10-01,36.3659
2023-11-01,36.3752
2023-12-01,37.9824
2024-01-01,37.8746
2024-02-01,38.2077
2024-03-01,39.2214
2024-04-01,39.6688
2024-05-01,40.5001
2024-06-01,40.5374
2024-07-01,41.0291
2024-08-01,41.1901
2024-09-01,41.1664
2024-10-01,41.279
2024-11-01,41.5956
2024-12-01,42.039
2025-01-01,41.8242
2025-02-01,41.514
2025-03-01,41.4787
2025-04-01,41.5647
2025-05-01,41.5285
2025-06-01,41.6409
2025-07-01,41.7662
2025-08-01,41.2602
2025-09-01,41.3176
2025-10-01,41.9701
2025-11-01,42.1928
2025-12-01,42.3878
